,id,name,season_number,place,winner,miss_congeniality,image_url,quote
14,47,Phi Phi O'Hara,A2,7.0,0,0,http://www.nokeynoshade.party/images/phi-phi-o'hara.png,You don't need RuPaul to be big. I can say for a fact that people knew who Phi Phi was before I got here. So I don't need RuPaul to say I'm sickening. I know I'm sickening. I don't need her to tell me that.
15,21,Tatianna,A2,6.0,0,0,http://www.nokeynoshade.party/images/tatianna.jpg,"Cause baby boy what you see, isnt always the truth."
16,58,Alyssa Edwards,A2,5.0,0,0,http://www.nokeynoshade.party/images/alyssa-edwards.jpg,BACKROLLS?!?!
17,61,Roxxy Andrews,A2,4.0,0,0,http://www.nokeynoshade.party/images/roxxy-andrews.jpg,"When life pulls you down, put on a shiny sequence gown"
18,60,Detox Icunt,A2,3.0,0,0,http://www.nokeynoshade.party/images/detox.jpg,Wow... Holy shit we're here
19,90,Katya Zamolodchikova,A2,2.0,0,1,http://www.nokeynoshade.party/images/katya.jpg,"I’m trying to just serve sexy and confident whore slutty cougar on the prowl. 3rd rate Faith Hill impersonator. 80% sexy, 20% disgusting."
20,62,Alaska Thunderfuck 5000,A2,1.0,1,0,http://www.nokeynoshade.party/images/alaska-thunderfuck.jpg,"I'll send you 10,000 dollars via PayPal if you let me stay in this competition"
21,101,Thorgy Thor,A3,10.0,0,0,http://www.nokeynoshade.party/images/thorgy-thor.jpg,Now take this orange shit of my body!
22,72,Milk,A3,9.0,0,0,http://www.nokeynoshade.party/images/milk.jpg,"Milk does the body good, gurl."
23,103,Chi Chi DeVayne,A3,8.0,0,0,http://www.nokeynoshade.party/images/chi-chi-devayne.jpg,I'm a cheap queen.
24,111,Aja,A3,7.0,0,0,http://www.nokeynoshade.party/images/aja.jpg,"You’re perfect, you’re beautiful, you look like Linda Evangelista, you’re a model! Everything about you is perfect! Did you stone those tights?"
25,75,BenDeLaCreme,A3,6.0,0,1,http://www.nokeynoshade.party/images/benda-la-creme.jpg,"Excuse me, we originated the language"
26,17,Morgan McMichaels,A3,5.0,0,0,http://www.nokeynoshade.party/images/morgan-mcmichaels.jpg,"People think that, since I'm pretty, and I'm sexy, that I should just do slutty all the time."
27,13,Shangela Laquifa Wadley,A3,4.0,0,0,http://www.nokeynoshade.party/images/shangela-laquifa-wadley.jpg,Halleloo!
28,12,Bebe Zahara Benet,A3,3.0,1,0,http://www.nokeynoshade.party/images/bebe-zahara-benet.jpg,"I bring a lot of international influence, and right now I really feel like I'm ahead of the game."
29,91,Kennedy Davenport,A3,2.0,0,0,http://www.nokeynoshade.party/images/kennedy-davenport.jpg,"Love is understanding, unconditional. Love is accepting, and never fails."
30,89,Trixie Mattel,A3,1.0,1,0,http://www.nokeynoshade.party/images/trixie-mattel.jpg,"Alright, Public school, calm down."
31,83,Jasmine Masters,A4,10.0,0,0,http://www.nokeynoshade.party/images/jasmine-masters.jpg,You gotta pop dem corns so the kids can eat!
32,112,Farrah Moan,A4,9.0,0,0,http://www.nokeynoshade.party/images/farrah-moan.jpg,Someone told me for the first time in my life that I wear too much highlighter!
33,71,Gia Gunn,A4,8.0,0,0,http://www.nokeynoshade.party/images/gia-gunn.jpg,"Just got off the boat, you know, little trip from Asia, just landed like fresh tilapia"
34,113,Valentina,A4,7.0,0,1,http://www.nokeynoshade.party/images/valentina.jpg,I'm glad these girls see me as a threat.
35,35,Manila Luzon,A4,6.0,0,0,http://www.nokeynoshade.party/images/manila-luzon.jpg,Try something new -- do it with an Indian guy!
36,46,Latrice Royale,A4,5.0,0,1,http://www.nokeynoshade.party/images/latrice-royale.jpg,Jesus is a biscuit! Let him sop you up!
37,104,Naomi Smalls,A4,4.0,0,0,http://www.nokeynoshade.party/images/naomi-smalls.jpg,Check your lipstick before you come for me.
38,136,Monique Heart,A4,3.0,0,0,http://www.nokeynoshade.party/images/monique-heart.jpg,"Cat kitty cat cat cat cat. Cat kitty cat cat cat. Bringing you the heart of Season 10, honey. Monique Heart. The face."
39,123,Trinity Taylor,A4,1.0,0,0,http://www.nokeynoshade.party/images/trinity-taylor.jpg,"I have 50 units of botox in my face, I don't know what y'all want from me."
40,130,Monet X Change,A4,1.0,0,1,http://www.nokeynoshade.party/images/monet_x_change.jpg,"Oh, don't mind me. I just came here to sweep up the competition, girl."
